ClosingStrategy,ObservationTableCEXHandler,SUL name,Seed,Cache,EquivalenceOracle,Method,Iter,HypSize,CESize,Info
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,2,14,5,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,3,17,5,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,4,19,5,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,5,21,6,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,6,22,9,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,7,23,9,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,8,26,9,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,9,35,10,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,10,37,11,wOx2
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,11,38,0,wOx2
CloseFirst,RivestSchapire,TCP_FreeBSD_Client.dot,1642682890776,Y,"SouchaCTT(spy,1)",L*M,1,10,8,4GUt
CloseFirst,RivestSchapire,TCP_FreeBSD_Client.dot,1642682890776,Y,"SouchaCTT(spy,1)",L*M,2,12,0,4GUt
